QUANTITATIVO DE MILITARES ATIVOS;;;;;;;;;;;
;;;;;;;;;;;
Nm Grupo;Ano;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;;;;
ALMIRANTE;MARECHAL;MARECHAL DO AR;Almirante/Marechal/Marechal do Ar;0;0;0;0;0;0;0;0;0;0
OFICIAIS GENERAIS;Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;10;10;10;10;10;10;9;10;9;12
;Contra-Almirante,General-de-Brigada e Brigadeiro;60;60;62;58;59;61;67;64;66;68
;Vice-Almirante, General-de-Divisão e Major-Brigadeiro;28;28;28;28;29;32;29;27;29;30
OFICIAIS SUPERIORES;Capitão-de-Corveta e Major;833;843;713;791;830;1113;1196;1202;1220;1290
;Capitão-de-Fragata e Tenente-Coronel;997;970;958;805;707;607;595;619;676;567
;Capitão-de-Mar-e-Guerra e Coronel;499;600;624;617;655;665;625;598;515;507
OFICIAIS INTERMEDIÁRIOS;Capitão-Tenente e Capitão;1405;1649;1799;1825;1875;1705;1633;1649;1651;1783
OFICIAIS SUBALTERNOS;Primeiro-Tenente;3304;3273;3448;3416;3638;3774;4443;4252;4599;4948
;Segundo-Tenente;2125;2287;2599;3155;2797;3120;3100;3428;3354;3326
PRAÇAS ESPECIAIS;Aluno Da Escola de Formação de Sargentos;613;695;929;828;971;703;751;852;749;789
;Aluno do Colégio Naval, Aluno da Escola Preparatória de Cadetes do Exército e da Aeronáutica (Demais Anos);347;376;420;417;361;332;329;323;338;330
;Aluno do Colégio Naval, Aluno da Escola Preparatória de Cadetes do Exército e da Aeronáutica (Último Ano);162;157;167;181;211;181;145;162;150;157
;Aluno do Órgão de Formação de Oficiais da Reserva;116;14;127;131;128;163;159;130;111;109
;Aspirante da EN, Cadete da AMAN, Cadete da AFA e Aluno do Instituto Militar de Engenharia(Demais Anos);570;589;620;550;568;517;513;493;467;461
;Aspirante da EN, Cadete da AMAN, Cadete da AFA e Aluno do Instituto Militar de Engenharia(último ano);155;160;169;181;5;5;177;2;3;3
;Guarda-Marinha e Aspirante-a-Oficial;148;236;545;121;831;943;642;407;360;293
PRAÇAS GRADUADAS;Cabo(não engajado);3382;3436;4024;4365;4525;4503;5526;5001;4502;4287
;Primeiro-Sargento;4150;3614;3429;3419;3690;4199;4431;4727;4901;5008
;Segundo-Sargento;6613;6628;6515;6131;5603;5562;5824;6261;7039;7545
;Suboficial e Subtenente;5597;5931;5657;5479;5395;4981;4726;3963;3512;3116
;Terceiro-Sargento;9952;9854;9822;10047;10657;12077;12122;11936;10885;11146
DEMAIS PRAÇAS;Marinheiro-Recruta , Soldado-Recruta, Recruta, Soldado, Soldado de 2ª Classe (não engajado) e Soldado-Clarim ou Corneteiro de 3ª Classe;6503;7572;9245;7920;7270;5373;4768;5746;7366;7239
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe (não especializado) e Soldado-Clarim ou Corneteiro de 2ª Classe, Soldado do Exército e Soldado de 2ª Classe(engajado);15865;13844;14508;14526;13812;13032;12644;11699;11310;12945
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe(especializados, cursados e engajados), Soldado-Clarim ou Corneteiro 1ª Classe e Soldado Pára-Quedista(engajado);5029;5924;5267;5574;6362;6431;5857;5680;4316;3922
;Taifeiro de 1ª Classe;547;400;470;362;416;270;228;224;279;158
;Taifeiro de 2ª Classe;78;45;46;121;136;219;169;81;16;5
;Taifeiro-Mor;272;175;106;219;77;146;163;54;6;125
