MILITARES PRESTANDO TAREFA POR TEMPO CERTO - PTTC;;;;;;;;;;
;;;;;;;;;;
Nm Grupo;Ano;2009;2011;2012;2013;2014;2015;2016;2017;2018
;Desc Pst;Total Ttc;Total Ttc;Total Ttc;Total Ttc;Total Ttc;Total Ttc;Total Ttc;Total Ttc;Total Ttc
OFICIAIS GENERAIS;Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;4;6;6;5;5;5;5;4;3
;Contra-Almirante,General-de-Brigada e Brigadeiro;147;169;169;161;164;154;162;171;154
;Vice-Almirante, General-de-Divisão e Major-Brigadeiro;5;4;3;4;5;7;9;10;9
OFICIAIS SUPERIORES;Capitão-de-Corveta e Major;97;105;121;115;122;121;128;123;116
;Capitão-de-Fragata e Tenente-Coronel;67;102;111;128;138;145;154;163;155
;Capitão-de-Mar-e-Guerra e Coronel;120;174;202;238;277;340;385;405;413
OFICIAIS INTERMEDIÁRIOS;Capitão-Tenente e Capitão;159;215;245;291;324;367;434;488;504
OFICIAIS SUBALTERNOS;Primeiro-Tenente;8;11;25;37;40;43;37;50;63
;Segundo-Tenente;233;309;349;330;328;304;289;272;253
PRAÇAS GRADUADAS;Primeiro-Sargento;18;39;64;78;93;103;105;112;122
;Segundo-Sargento;74;59;87;90;100;92;92;93;94
;Suboficial e Subtenente;312;742;1084;1197;1318;1360;1400;1566;1628
;Terceiro-Sargento;450;810;1081;829;817;813;815;854;871
